業種コード1,業種コード2,業種コード3,業種名1,業種名2,業種名3
04,0414,0414001,暮らし、生活,結婚式場、結婚相談所,結婚式場
04,0414,0414002,暮らし、生活,結婚式場、結婚相談所,結婚相談所
04,0414,0414003,暮らし、生活,結婚式場、結婚相談所,ブライダルプロデュース
04,0415,0415001,暮らし、生活,葬祭、仏壇,葬祭業
04,0415,0415002,暮らし、生活,葬祭、仏壇,霊園
04,0415,0415003,暮らし、生活,葬祭、仏壇,墓石
04,0415,0415004,暮らし、生活,葬祭、仏壇,仏壇、仏具
04,0415,0415005,暮らし、生活,葬祭、仏壇,葬祭、仏壇（その他）
04,0416,0416001,暮らし、生活,銀行、保険、金融,保険業
04,0416,0416002,暮らし、生活,銀行、保険、金融,銀行
04,0416,0416003,暮らし、生活,銀行、保険、金融,信用金庫
04,0416,0416004,暮らし、生活,銀行、保険、金融,貸金業
04,0416,0416005,暮らし、生活,銀行、保険、金融,証券業
04,0416,0416006,暮らし、生活,銀行、保険、金融,労働金庫
04,0416,0416007,暮らし、生活,銀行、保険、金融,ゴルフ会員権
04,0416,0416008,暮らし、生活,銀行、保険、金融,銀行、保険、金融（その他）
04,0417,0417001,暮らし、生活,ペット、動物病院,動物病院、獣医師
04,0417,0417002,暮らし、生活,ペット、動物病院,ペットサロン、トリミング
04,0417,0417003,暮らし、生活,ペット、動物病院,ペットショップ、ペット用品
04,0417,0417004,暮らし、生活,ペット、動物病院,ペットホテル
04,0417,0417005,暮らし、生活,ペット、動物病院,ペット葬儀、ペット霊園
04,0417,0417006,暮らし、生活,ペット、動物病院,調教師、ペットしつけ
04,0417,0417007,暮らし、生活,ペット、動物病院,ペット、動物病院（その他）
04,0418,0418001,暮らし、生活,銭湯、浴場,銭湯
04,0418,0418002,暮らし、生活,銭湯、浴場,スーパー銭湯
04,0418,0418003,暮らし、生活,銭湯、浴場,健康ランド
04,0418,0418004,暮らし、生活,銭湯、浴場,温泉浴場
04,0418,0418005,暮らし、生活,銭湯、浴場,岩盤浴
04,0418,0418006,暮らし、生活,銭湯、浴場,サウナ
04,0419,0419001,暮らし、生活,美容、サロン,美容院
04,0419,0419002,暮らし、生活,美容、サロン,理容店
04,0419,0419003,暮らし、生活,美容、サロン,かつら、毛髪業
04,0419,0419004,暮らし、生活,美容、サロン,ヘアデザイナー
04,0419,0419005,暮らし、生活,美容、サロン,エステティックサロン
04,0419,0419006,暮らし、生活,美容、サロン,アロマセラピー
04,0419,0419007,暮らし、生活,美容、サロン,ネイルサロン
04,0419,0419008,暮らし、生活,美容、サロン,リフレクソロジー
04,0419,0419009,暮らし、生活,美容、サロン,美容アドバイザー
04,0419,0419010,暮らし、生活,美容、サロン,日焼けサロン
04,0419,0419011,暮らし、生活,美容、サロン,まつげ、アイラッシュ
04,0419,0419012,暮らし、生活,美容、サロン,リラクゼーション
04,0419,0419013,暮らし、生活,美容、サロン,メイク
04,0419,0419014,暮らし、生活,美容、サロン,美容、サロン（その他）
04,0420,0420001,暮らし、生活,専門職、弁護士、司法書士,税理士
04,0420,0420002,暮らし、生活,専門職、弁護士、司法書士,公認会計士
04,0420,0420003,暮らし、生活,専門職、弁護士、司法書士,司法書士
04,0420,0420004,暮らし、生活,専門職、弁護士、司法書士,行政書士
04,0420,0420005,暮らし、生活,専門職、弁護士、司法書士,弁護士
04,0420,0420006,暮らし、生活,専門職、弁護士、司法書士,社会保険労務士
04,0420,0420007,暮らし、生活,専門職、弁護士、司法書士,弁理士
04,0420,0420008,暮らし、生活,専門職、弁護士、司法書士,公証人
04,0420,0420009,暮らし、生活,専門職、弁護士、司法書士,経営コンサルタント
04,0420,0420010,暮らし、生活,専門職、弁護士、司法書士,ファイナンシャルプランナー
04,0420,0420011,暮らし、生活,専門職、弁護士、司法書士,信用調査、探偵
04,0420,0420012,暮らし、生活,専門職、弁護士、司法書士,翻訳、通訳
04,0420,0420013,暮らし、生活,専門職、弁護士、司法書士,専門職、弁護士、司法書士（その他）
04,0421,0421001,暮らし、生活,人材派遣,人材派遣
04,0421,0421002,暮らし、生活,人材派遣,人材紹介所
04,0421,0421003,暮らし、生活,人材派遣,看護師、家政婦紹介所
04,0421,0421004,暮らし、生活,人材派遣,人材派遣（その他）
04,0422,0422001,暮らし、生活,官公庁,国の機関
04,0422,0422002,暮らし、生活,官公庁,都道府県機関
04,0422,0422003,暮らし、生活,官公庁,市区町村機関
04,0422,0422004,暮らし、生活,官公庁,官公庁（その他）
04,0423,0423001,暮らし、生活,公共サービス、各種団体,消防機関
04,0423,0423002,暮らし、生活,公共サービス、各種団体,警察機関
04,0423,0423003,暮らし、生活,公共サービス、各種団体,裁判所
04,0423,0423004,暮らし、生活,公共サービス、各種団体,保健所
04,0423,0423005,暮らし、生活,公共サービス、各種団体,職業安定所
04,0423,0423006,暮らし、生活,公共サービス、各種団体,社会保険事務所
04,0423,0423007,暮らし、生活,公共サービス、各種団体,公民館、集会所
04,0423,0423008,暮らし、生活,公共サービス、各種団体,消費生活センター
04,0423,0423009,暮らし、生活,公共サービス、各種団体,公共サービス、各種団体（その他）
04,0424,0424001,暮らし、生活,寺院、神社,寺院
04,0424,0424002,暮らし、生活,寺院、神社,神社
04,0424,0424003,暮らし、生活,寺院、神社,教会
04,0424,0424004,暮らし、生活,寺院、神社,寺院、神社（その他）
04,0425,0425001,暮らし、生活,避難所、避難場所,避難所、避難場所
04,0425,0425002,暮らし、生活,避難所、避難場所,一時滞在施設
